Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Phúc Xá;00001
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Trúc B?ch;00004
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng V?nh Phúc;00006
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng C?ng V?;00007
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Li?u Giai;00008
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Nguy?n Trung Tr?c;00010
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Quán Thánh;00013
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Ng?c Hà;00016
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng ?i?n Biên;00019
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng ??i C?n;00022
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Ng?c Khánh;00025
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Kim Mã;00028
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Gi?ng Võ;00031
Thành ph? Hà N?i;01;Qu?n Ba ?ình;001;Ph??ng Thành Công;00034
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Phúc Tân;00037
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng ??ng Xuân;00040
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng Mã;00043
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng Bu?m;00046
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng ?ào;00049
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng B?;00052
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng C?a ?ông;00055
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Lý Thái T?;00058
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng B?c;00061
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng Gai;00064
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Ch??ng D??ng;00067
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng Tr?ng;00070
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng C?a Nam;00073
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng Bông;00076
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Tràng Ti?n;00079
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Tr?n H?ng ??o;00082
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Phan Chu Trinh;00085
Thành ph? Hà N?i;01;Qu?n Hoàn Ki?m;002;Ph??ng Hàng Bài;00088
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng Phú Th??ng;00091
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng Nh?t Tân;00094
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng T? Liên;00097
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng Qu?ng An;00100
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng Xuân La;00103
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng Yên Ph?;00106
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng B??i;00109
Thành ph? Hà N?i;01;Qu?n Tây H?;003;Ph??ng Th?y Khuê;00112
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Th??ng Thanh;00115
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Ng?c Th?y;00118
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Giang Biên;00121
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng ??c Giang;00124
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Vi?t H?ng;00127
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Gia Th?y;00130
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Ng?c Lâm;00133
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Phúc L?i;00136
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng B? ??;00139
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Sài ??ng;00142
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Long Biên;00145
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Th?ch Bàn;00148
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng Phúc ??ng;00151
Thành ph? Hà N?i;01;Qu?n Long Biên;004;Ph??ng C? Kh?i;00154
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng Ngh?a ?ô;00157
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng Ngh?a Tân;00160
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng Mai D?ch;00163
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng D?ch V?ng;00166
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng D?ch V?ng H?u;00167
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng Quan Hoa;00169
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng Yên Hoà;00172
Thành ph? Hà N?i;01;Qu?n C?u Gi?y;005;Ph??ng Trung Hoà;00175
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Cát Linh;00178
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng V?n Mi?u;00181
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Qu?c T? Giám;00184
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Láng Th??ng;00187
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Ô Ch? D?a;00190
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng V?n Ch??ng;00193
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Hàng B?t;00196
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Láng H?;00199
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Khâm Thiên;00202
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Th? Quan;00205
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Nam ??ng;00208
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Trung Ph?ng;00211
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Quang Trung;00214
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Trung Li?t;00217
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Ph??ng Liên;00220
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Th?nh Quang;00223
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Trung T?;00226
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Kim Liên;00229
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Ph??ng Mai;00232
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Ngã T? S?;00235
Thành ph? Hà N?i;01;Qu?n ??ng ?a;006;Ph??ng Kh??ng Th??ng;00238
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Nguy?n Du;00241
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng B?ch ??ng;00244
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Ph?m ?ình H?;00247
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Lê ??i Hành;00256
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng ??ng Nhân;00259
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Ph? Hu?;00262
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng ??ng Mác;00265
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Thanh L??ng;00268
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Thanh Nhàn;00271
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng C?u D?n;00274
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Bách Khoa;00277
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng ??ng Tâm;00280
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng V?nh Tuy;00283
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng B?ch Mai;00286
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Qu?nh Mai;00289
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Qu?nh Lôi;00292
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Minh Khai;00295
Thành ph? Hà N?i;01;Qu?n Hai Bà Tr?ng;007;Ph??ng Tr??ng ??nh;00298
Thành ph? Hà N?i;01;Qu?n Hoàng Mai;008;Ph??ng Thanh Trì;00301
Thành ph? Hà N?i;01;Qu?n Hoàng Mai;008;Ph??ng V?nh H?ng;00304
Thành ph? Hà N?i;01;Qu?n Hoàng Mai;008;Ph??ng ??nh Công;00307
Thành ph? Hà N?i;01;Qu?n Hoàng Mai;008;Ph??ng Mai ??ng;00310
